datetime,hr,rri
2019-04-02 20:02:28.795,94, 590
2019-04-02 20:02:29.761,97, 557
2019-04-02 20:02:31.247,101, 544
2019-04-02 20:02:32.245,103, 593
2019-04-02 20:02:33.225,103, 602
2019-04-02 20:02:34.216,102, 605
2019-04-02 20:02:35.219,101, 621
2019-04-02 20:02:36.205,99, 626
2019-04-02 20:02:37.189,99, 617
2019-04-02 20:02:38.176,98, 613
2019-04-02 20:02:39.168,98, 619
2019-04-02 20:02:40.163,98, 613
2019-04-02 20:02:41.148,97, 643
2019-04-02 20:02:42.136,96, 633
2019-04-02 20:02:43.126,95, 632
2019-04-02 20:02:44.121,95, 649
2019-04-02 20:02:45.105,95, 643
2019-04-02 20:02:46.096,94, 676
2019-04-02 20:02:47.085,94, 702
2019-04-02 20:02:48.081,92, 695
2019-04-02 20:02:49.067,91, 679
2019-04-02 20:02:50.059,90, 687
2019-04-02 20:02:51.047,90, 685
2019-04-02 20:02:52.035,89, 677
2019-04-02 20:02:53.032,89, 663
2019-04-02 20:02:54.015,89, 680
2019-04-02 20:02:55.005,89, 646
2019-04-02 20:02:55.997,90, 623
2019-04-02 20:02:56.992,91, 666
2019-04-02 20:02:57.983,91, 690
2019-04-02 20:02:58.966,90, 683
2019-04-02 20:02:59.955,90, 650
2019-04-02 20:03:00.945,90, 647
2019-04-02 20:03:01.937,91, 647
2019-04-02 20:03:02.925,91, 673
2019-04-02 20:03:03.923,90, 711
2019-04-02 20:03:04.906,89, 732
2019-04-02 20:03:05.899,88, 722
2019-04-02 20:03:06.884,87, 738
2019-04-02 20:03:07.875,86, 704
2019-04-02 20:03:08.864,86, 638
2019-04-02 20:03:10.351,88, 639
2019-04-02 20:03:10.852,89, 671
2019-04-02 20:03:11.835,89, 669
2019-04-02 20:03:12.825,89, 666
2019-04-02 20:03:13.818,89, 733
2019-04-02 20:03:15.310,87, 711
2019-04-02 20:03:15.802,87, 686
2019-04-02 20:03:16.786,87, 684
2019-04-02 20:03:17.780,87, 671
2019-04-02 20:03:18.771,88, 673
2019-04-02 20:03:20.254,88, 672
2019-04-02 20:03:21.244,88, 650
2019-04-02 20:03:22.234,89, 670
2019-04-02 20:03:23.220,89, 694
2019-04-02 20:03:24.214,89, 692
2019-04-02 20:03:25.200,88, 688
2019-04-02 20:03:26.193,88, 690
2019-04-02 20:03:27.188,88, 685
2019-04-02 20:03:28.173,88, 669
2019-04-02 20:03:29.161,88, 680
2019-04-02 20:03:30.164,88, 682
2019-04-02 20:03:31.139,88, 708
2019-04-02 20:03:32.139,87, 696
2019-04-02 20:03:33.122,87, 647
2019-04-02 20:03:34.109,89, 647
2019-04-02 20:03:35.105,89, 675
2019-04-02 20:03:36.090,89, 653
2019-04-02 20:03:37.080,90, 683
2019-04-02 20:03:38.076,89, 704
2019-04-02 20:03:39.064,89, 688
2019-04-02 20:03:40.052,88, 698
2019-04-02 20:03:41.039,88, 665
2019-04-02 20:03:42.035,88, 652
2019-04-02 20:03:43.023,89, 669
2019-04-02 20:03:44.009,89, 665
2019-04-02 20:03:45.002,89, 665
2019-04-02 20:03:46.979,89, 700
2019-04-02 20:03:46.990,89, 644
2019-04-02 20:03:47.980,90, 622
2019-04-02 20:03:48.959,91, 636
2019-04-02 20:03:49.949,92, 642
2019-04-02 20:03:50.938,92, 638
2019-04-02 20:03:51.929,93, 665
2019-04-02 20:03:52.918,92, 700
2019-04-02 20:03:53.909,90, 701
2019-04-02 20:03:54.899,89, 682
2019-04-02 20:03:55.888,89, 658
2019-04-02 20:03:56.883,90, 641
2019-04-02 20:03:57.869,90, 655
2019-04-02 20:03:58.858,91, 677
2019-04-02 20:03:59.848,90, 682
2019-04-02 20:04:00.844,90, 661
2019-04-02 20:04:01.829,90, 640
2019-04-02 20:04:02.819,90, 668
2019-04-02 20:04:03.810,90, 679
2019-04-02 20:04:04.799,90, 678
2019-04-02 20:04:05.788,90, 680
2019-04-02 20:04:06.782,89, 650
